代码,选股日期,最新收盘价,评分,否决,流动性过滤,主力资金,风险过滤,波动收敛VCP,箱体突破,均线金叉,涨停检测,倍量检测,通过筛选
000001,2026-04-24,11.0,0.0,是,否,是,是,是,否,否,否,否,否
000002,2026-04-24,3.75,0.0,是,否,是,是,否,否,否,否,否,否
000004,2026-04-24,2.91,0.0,是,否,是,是,否,否,否,否,否,否
000006,2026-04-24,9.88,0.0,是,否,是,是,否,否,否,否,否,否
000007,2026-04-24,13.85,0.0,是,否,否,是,是,否,否,否,否,否
000008,2026-04-24,2.66,0.0,是,否,是,是,否,否,否,否,否,否
000009,2026-04-24,8.9,0.0,是,否,是,是,是,否,否,否,否,否
000010,2026-04-24,3.62,0.0,是,否,是,是,否,否,否,是,否,否
000011,2026-04-24,8.44,0.0,是,否,是,是,是,否,否,否,否,否
000012,2026-04-24,4.45,0.0,是,否,是,是,是,否,否,否,否,否
000014,2026-04-24,13.12,0.0,是,否,是,是,是,否,否,否,否,否
000016,2026-04-24,3.19,0.0,是,否,是,是,否,否,否,否,否,否
000017,2026-04-24,6.35,0.0,是,否,是,是,否,否,否,否,是,否
000019,2026-04-24,8.0,0.0,是,否,是,是,否,否,否,是,否,否
000020,2026-04-24,15.33,0.0,是,否,是,是,否,否,否,否,否,否
000021,2026-04-24,28.85,0.0,是,否,是,是,否,否,否,否,否,否
001872,2026-04-24,21.78,0.0,是,否,是,是,是,否,否,否,否,否
000025,2026-04-24,15.63,0.0,是,否,是,是,是,否,否,否,否,否
000026,2026-04-24,18.41,0.0,是,否,是,是,否,否,是,是,是,否
000027,2026-04-24,6.93,0.0,是,否,否,是,是,否,否,否,否,否
000028,2026-04-24,24.79,0.0,是,否,是,是,否,否,否,否,否,否
000029,2026-04-24,20.17,0.0,是,否,是,是,是,否,否,否,否,否
000030,2026-04-24,5.12,0.0,是,否,是,是,否,否,否,否,是,否
000031,2026-04-24,2.89,0.0,是,否,是,是,是,否,否,否,否,否
